iter	Passed	Remaining
0	147	146885
1	149	74798
2	153	51024
3	156	39034
4	159	31775
5	162	26969
6	166	23577
7	169	21043
8	173	19064
9	176	17458
10	179	16149
11	182	15065
12	186	14166
13	190	13401
14	194	12763
15	197	12167
16	201	11633
17	204	11153
18	208	10758
19	212	10433
20	217	10142
21	221	9861
22	225	9570
23	228	9306
24	232	9066
25	236	8841
26	239	8629
27	243	8436
28	246	8252
29	250	8085
30	253	7928
31	258	7818
32	262	7698
33	266	7573
34	270	7452
35	274	7355
36	278	7246
37	281	7120
38	284	7011
39	288	6915
40	291	6820
41	295	6738
42	299	6655
43	302	6579
44	307	6516
45	310	6448
46	314	6373
47	318	6311
48	321	6241
49	325	6182
50	329	6126
51	333	6076
52	337	6024
53	340	5966
54	344	5912
55	347	5850
56	350	5802
57	354	5755
58	357	5708
59	361	5670
60	365	5622
61	369	5586
62	372	5544
63	377	5519
64	382	5502
65	387	5478
66	392	5464
67	396	5431
68	400	5410
69	405	5384
70	409	5352
71	413	5327
72	417	5303
73	421	5269
74	425	5243
75	428	5206
76	432	5181
77	435	5153
78	439	5128
79	445	5121
80	448	5091
81	452	5062
82	455	5037
83	459	5009
84	463	4986
85	466	4957
86	470	4937
87	472	4892
88	475	4870
89	479	4843
90	482	4821
91	485	4794
92	489	4774
93	493	4758
94	497	4742
95	502	4728
96	506	4712
97	510	4694
98	514	4678
99	517	4657
100	521	4637
101	524	4618
102	527	4595
103	531	4577
104	535	4560
105	537	4533
106	541	4517
107	545	4502
108	546	4467
109	550	4453
110	553	4435
111	558	4428
112	561	4408
113	565	4391
114	568	4375
115	572	4365
116	577	4357
117	580	4340
118	584	4325
119	589	4321
120	592	4306
121	596	4295
122	600	4283
123	604	4267
124	608	4258
125	611	4242
126	616	4241
127	621	4235
128	626	4228
129	629	4213
130	634	4209
131	638	4196
132	642	4186
133	646	4179
134	650	4166
135	653	4154
136	657	4144
137	661	4131
138	664	4118
139	668	4105
140	672	4094
141	675	4083
142	679	4073
143	683	4063
144	687	4051
145	691	4042
146	695	4033
147	699	4025
148	703	4018
149	707	4008
150	711	4001
151	716	3996
152	720	3987
153	724	3977
154	728	3970
155	732	3963
156	736	3954
157	739	3940
158	741	3923
159	744	3907
160	746	3888
161	747	3868
162	749	3849
163	751	3831
164	753	3810
165	754	3790
166	755	3768
167	756	3748
168	758	3729
169	759	3709
170	760	3688
171	761	3667
172	763	3648
173	764	3629
174	765	3609
175	766	3588
176	767	3569
177	768	3549
178	769	3529
179	770	3509
180	771	3489
181	772	3470
182	773	3451
183	773	3431
184	774	3412
185	775	3394
186	776	3377
187	777	3359
188	778	3341
189	779	3323
190	780	3305
191	781	3287
192	782	3271
193	783	3255
194	784	3238
195	785	3220
196	785	3203
197	786	3186
198	787	3169
199	788	3154
200	789	3139
201	790	3124
202	791	3108
203	792	3091
204	793	3075
205	794	3061
206	795	3047
207	796	3033
208	797	3019
209	798	3004
210	800	2992
211	802	2981
212	803	2968
213	804	2955
214	805	2941
215	806	2927
216	808	2915
217	809	2902
218	810	2889
219	811	2875
220	812	2862
221	813	2849
222	814	2837
223	815	2825
224	816	2812
225	817	2799
226	818	2786
227	819	2773
228	820	2762
229	821	2750
230	822	2739
231	823	2726
232	824	2714
233	826	2705
234	827	2693
235	828	2681
236	829	2669
237	829	2657
238	830	2644
239	831	2632
240	832	2622
241	834	2612
242	834	2600
243	835	2588
244	836	2576
245	836	2565
246	837	2554
247	839	2544
248	840	2533
249	840	2522
250	841	2511
251	842	2500
252	843	2489
253	844	2479
254	845	2469
255	846	2459
256	847	2449
257	848	2438
258	848	2428
259	849	2417
260	850	2407
261	851	2398
262	852	2388
263	853	2379
264	854	2369
265	855	2359
266	856	2350
267	857	2341
268	858	2332
269	859	2323
270	860	2314
271	861	2305
272	862	2295
273	863	2287
274	864	2278
275	865	2269
276	866	2261
277	867	2252
278	868	2243
279	869	2235
280	870	2226
281	871	2218
282	872	2209
283	872	2200
284	873	2191
285	874	2183
286	875	2174
287	876	2166
288	877	2158
289	878	2150
290	879	2141
291	879	2133
292	880	2124
293	881	2117
294	882	2109
295	883	2101
296	884	2092
297	884	2084
298	885	2076
299	886	2068
300	887	2060
301	888	2052
302	888	2044
303	889	2036
304	890	2028
305	891	2021
306	891	2013
307	892	2005
308	893	1998
309	894	1990
310	895	1982
311	895	1975
312	896	1967
313	897	1960
314	898	1953
315	898	1945
316	899	1938
317	900	1930
318	901	1923
319	901	1916
320	902	1909
321	903	1902
322	904	1895
323	905	1888
324	905	1881
325	906	1874
326	907	1867
327	908	1860
328	908	1853
329	909	1846
330	910	1839
331	911	1833
332	911	1826
333	912	1819
334	913	1813
335	914	1806
336	914	1800
337	915	1793
338	916	1787
339	917	1780
340	918	1774
341	918	1767
342	919	1761
343	920	1755
344	921	1749
345	922	1743
346	923	1737
347	924	1731
348	924	1725
349	925	1719
350	926	1713
351	927	1707
352	928	1701
353	929	1695
354	929	1689
355	930	1683
356	931	1677
357	932	1672
358	933	1666
359	934	1660
360	935	1655
361	935	1649
362	936	1643
363	937	1638
364	938	1632
365	939	1627
366	940	1621
367	941	1616
368	941	1610
369	942	1604
370	943	1599
371	944	1593
372	944	1588
373	945	1583
374	946	1577
375	947	1572
376	948	1566
377	949	1561
378	950	1556
379	950	1551
380	951	1546
381	953	1541
382	953	1536
383	954	1531
384	955	1527
385	957	1522
386	958	1517
387	959	1513
388	960	1508
389	961	1503
390	962	1498
391	963	1493
392	964	1489
393	965	1484
394	966	1479
395	967	1474
396	968	1470
397	969	1465
398	970	1461
399	971	1456
400	972	1452
401	973	1448
402	975	1444
403	976	1440
404	977	1435
405	978	1431
406	979	1427
407	980	1422
408	981	1417
409	982	1413
410	983	1409
411	984	1404
412	985	1400
413	986	1395
414	987	1391
415	988	1387
416	989	1382
417	989	1378
418	990	1374
419	991	1369
420	992	1365
421	993	1360
422	994	1356
423	995	1352
424	996	1348
425	997	1344
426	998	1340
427	999	1336
428	1001	1332
429	1002	1328
430	1003	1324
431	1004	1320
432	1005	1316
433	1006	1313
434	1007	1309
435	1009	1305
436	1010	1301
437	1011	1297
438	1012	1293
439	1013	1289
440	1014	1285
441	1015	1281
442	1016	1278
443	1017	1274
444	1018	1270
445	1020	1267
446	1021	1263
447	1022	1259
448	1023	1255
449	1024	1252
450	1025	1248
451	1026	1244
452	1027	1240
453	1028	1236
454	1029	1233
455	1030	1229
456	1031	1225
457	1032	1221
458	1033	1218
459	1035	1215
460	1036	1211
461	1037	1207
462	1038	1204
463	1039	1200
464	1041	1198
465	1043	1195
466	1044	1191
467	1045	1188
468	1046	1185
469	1047	1181
470	1048	1177
471	1049	1174
472	1050	1170
473	1051	1167
474	1053	1163
475	1054	1160
476	1055	1156
477	1056	1153
478	1057	1150
479	1058	1146
480	1059	1143
481	1061	1140
482	1062	1137
483	1063	1133
484	1064	1130
485	1065	1127
486	1067	1124
487	1069	1121
488	1070	1118
489	1071	1115
490	1073	1112
491	1074	1109
492	1075	1106
493	1077	1103
494	1078	1100
495	1080	1097
496	1081	1094
497	1082	1091
498	1083	1087
499	1084	1084
500	1085	1081
501	1086	1078
502	1087	1074
503	1089	1072
504	1091	1069
505	1093	1067
506	1095	1065
507	1096	1062
508	1098	1059
509	1099	1056
510	1100	1053
511	1101	1049
512	1102	1047
513	1104	1043
514	1105	1040
515	1106	1038
516	1109	1036
517	1110	1033
518	1112	1030
519	1113	1027
520	1114	1024
521	1116	1022
522	1117	1019
523	1119	1016
524	1120	1014
525	1122	1011
526	1123	1008
527	1124	1005
528	1126	1003
529	1127	1000
530	1129	997
531	1130	994
532	1130	990
533	1131	987
534	1132	984
535	1133	981
536	1134	978
537	1135	975
538	1136	971
539	1137	968
540	1138	965
541	1138	962
542	1139	959
543	1140	956
544	1141	953
545	1142	949
546	1143	946
547	1144	943
548	1144	940
549	1145	937
550	1146	934
551	1147	931
552	1148	928
553	1149	925
554	1150	922
555	1151	919
556	1151	916
557	1153	913
558	1154	910
559	1155	907
560	1156	904
561	1157	901
562	1158	898
563	1159	895
564	1159	893
565	1160	890
566	1161	887
567	1162	884
568	1163	881
569	1164	878
570	1164	875
571	1165	872
572	1166	869
573	1167	866
574	1168	863
575	1169	860
576	1170	857
577	1170	854
578	1171	852
579	1172	849
580	1173	846
581	1174	843
582	1175	840
583	1176	837
584	1176	834
585	1177	832
586	1178	829
587	1179	826
588	1180	823
589	1181	820
590	1182	818
591	1182	815
592	1183	812
593	1184	809
594	1185	806
595	1186	804
596	1187	801
597	1188	798
598	1188	795
599	1189	792
600	1190	790
601	1191	787
602	1192	785
603	1193	782
604	1194	779
605	1194	776
606	1195	774
607	1196	771
608	1197	768
609	1198	766
610	1199	763
611	1200	760
612	1201	758
613	1201	755
614	1202	752
615	1203	750
616	1204	747
617	1205	745
618	1206	742
619	1206	739
620	1207	737
621	1208	734
622	1209	731
623	1210	729
624	1211	726
625	1212	724
626	1213	721
627	1214	719
628	1214	716
629	1215	714
630	1216	711
631	1217	709
632	1218	706
633	1219	703
634	1220	701
635	1220	698
636	1221	696
637	1222	693
638	1223	691
639	1224	688
640	1225	686
641	1226	683
642	1227	681
643	1227	678
644	1228	676
645	1229	673
646	1230	671
647	1231	668
648	1232	666
649	1233	663
650	1233	661
651	1234	659
652	1235	656
653	1236	654
654	1237	651
655	1238	649
656	1239	647
657	1240	644
658	1241	642
659	1242	639
660	1242	637
661	1243	635
662	1244	632
663	1245	630
664	1246	627
665	1247	625
666	1248	623
667	1249	620
668	1250	618
669	1250	616
670	1251	613
671	1252	611
672	1253	608
673	1254	606
674	1255	604
675	1256	601
676	1256	599
677	1257	597
678	1258	594
679	1259	592
680	1260	590
681	1261	587
682	1261	585
683	1262	583
684	1263	580
685	1264	578
686	1264	576
687	1265	574
688	1266	571
689	1267	569
690	1268	567
691	1269	564
692	1270	562
693	1270	560
694	1271	558
695	1272	555
696	1273	553
697	1274	551
698	1275	549
699	1276	546
700	1276	544
701	1277	542
702	1278	540
703	1279	538
704	1280	535
705	1281	533
706	1282	531
707	1283	529
708	1283	526
709	1284	524
710	1285	522
711	1286	520
712	1287	518
713	1288	515
714	1288	513
715	1289	511
716	1290	509
717	1291	507
718	1292	505
719	1293	503
720	1294	500
721	1295	498
722	1296	496
723	1296	494
724	1297	492
725	1298	490
726	1299	488
727	1300	485
728	1301	483
729	1302	481
730	1303	479
731	1303	477
732	1304	475
733	1305	473
734	1306	471
735	1307	468
736	1308	466
737	1309	464
738	1310	462
739	1310	460
740	1311	458
741	1312	456
742	1313	454
743	1314	452
744	1314	450
745	1315	448
746	1316	445
747	1317	443
748	1318	441
749	1319	439
750	1319	437
751	1320	435
752	1321	433
753	1322	431
754	1323	429
755	1324	427
756	1325	425
757	1326	423
758	1326	421
759	1327	419
760	1328	417
761	1329	415
762	1330	413
763	1331	411
764	1332	409
765	1333	407
766	1333	405
767	1334	403
768	1335	401
769	1336	399
770	1337	397
771	1338	395
772	1339	393
773	1339	391
774	1340	389
775	1341	387
776	1342	385
777	1343	383
778	1344	381
779	1345	379
780	1345	377
781	1346	375
782	1347	373
783	1348	371
784	1349	369
785	1350	367
786	1350	365
787	1351	363
788	1352	361
789	1353	359
790	1354	357
791	1355	355
792	1356	354
793	1357	352
794	1357	350
795	1358	348
796	1359	346
797	1360	344
798	1361	342
799	1362	340
800	1363	338
801	1363	336
802	1364	334
803	1365	332
804	1366	330
805	1367	329
806	1368	327
807	1369	325
808	1369	323
809	1370	321
810	1371	319
811	1372	317
812	1373	315
813	1374	314
814	1375	312
815	1375	310
816	1376	308
817	1377	306
818	1378	304
819	1379	302
820	1380	300
821	1381	299
822	1382	297
823	1382	295
824	1383	293
825	1384	291
826	1385	289
827	1386	287
828	1387	286
829	1387	284
